,name
0, 
1, hack  g u  returner
2, hack  g u  trilogy
3, hack  g u  trilogy  parody mode
4, hack  gift
5, hack  intermezzo
6, hack  liminality
7, hack  quantum
8, hack  quantum  sore ike  bokura no chimuchimu chan  
9, hack  roots
10, hack  sign
11, hack  tasogare no udewa densetsu
12, hack  tasogare no udewa densetsu  offline de aimashou
13, hack  the movie  sekai no mukou ni
14, hack  unison
15, hack  versus  the thanatos report
16, quot 0 quot 
17, quot bungaku shoujo quot  kyou no oyatsu  hatsukoi
18, quot bungaku shoujo quot  memoire
19, quot bungaku shoujo quot  movie
20, quot eiji quot 
21,00 08
22,001
23,009 1
24,009 1  r amp b
25,009 re cyborg
26,07 ghost
27,1 2 paradise
28,100 
29,100 man nen chikyuu no tabi  bander book
30,1000 nen joou  queen millennia
31,1001 nights
32,11 nin iru 
33,11eyes
34,11eyes  momoiro genmutan
35,11eyes picture drama
36,12 gatsu no uta
37,12 sai 
38,12 sai   chicchana mune no tokimeki
39,12 sai   chicchana mune no tokimeki 2nd season
40,12 sai  2nd season
41,1989
42,20 dai no heya hen
43,2002 nen harmoni ondo
44,2005 nen uchuu no tabi
45,21 emon
46,21 seiki manga hajimete monogatari
47,3 choume no tama  onegai  momo chan wo sagashite  
48,3 choume no tama  uchi no tama shirimasenka 
49,3 gatsu no lion meets bump of chicken
50,3 nen c gumi 14 ban kubozono chiyoko no nyuukaku
51,3 tsu no hanashi
52,3 tsu no kumo
53,30 sai no hoken taiiku
54,30 sai no hoken taiiku specials
55,30th gundam perfect mission
56,3d onara gorou ga dance dance dance  
57,3x3 eyes
58,3x3 eyes seima densetsu
59,4 day weekend
60,4 eyes
61,44 hiki no neko
62,48x61
63,6 angels
64,6 princess
65,663114
66,7 kakan 
67,77danui bimil
68,8 gatsu no symphony  shibuya 2002 2003
69,91 days
70,91 days recap
71,_summer
72,_summer specials
73,a channel
74,a channel   a channel
75,a channel smile
76,a d  police  tv 
77,a f
78,a girl
79,a jang com
80,a ko the versus
